axis,value,platform,n_seeds,n_positive,mean_vsrand,source,note
K-fixed,1,legacy8-A8-TAG,6,2,-116.6,results/_logs/night_e7e_k1_s{1-5}.log + 실험일지.md 32절(3)ⓑ·33절 보강2(E7),"per-seed: -182.9/-254.3/+274.5/-269.7/+108.2 (로그 원자료) + seed42 clean -375.6(28_ablation_vic_2m_clean/single_vic_on, 일지 기록 — 폴더 CSV는 체크포인트 곡선뿐). 6-seed 평균 -117±252와 일치. 전이구간"
K-fixed,5,legacy8-A8-TAG,5,5,1230.5,results/_logs/night_e3e_k5_s{1-5}.log (런: results/30_vic_potfrac_seedsweep/fixed_k5_s*),per-seed +182.4/+713.2/+1702.1/+1449.7/+2105.1. 일지 E3 +1230±693(5/5)과 일치
K-fixed,20,legacy8-A8-TAG,5,5,1659,results/_logs/night_e3e_k20_s{1-5}.log (런: results/30_vic_potfrac_seedsweep/fixed_k20_s*),per-seed +1744.3/+1485.7/+3022.9/+432.3/+1609.7. 일지 +1659±825(5/5)와 일치
K-fixed,60,legacy8-A8-TAG,5,5,806.3,results/_logs/night_e3e_k60_s{1-5}.log (런: results/30_vic_potfrac_seedsweep/fixed_k60_s*),per-seed +1195.1/+164.4/+1378.5/+450.1/+843.3. 일지 +806±451(5/5)와 일치. 과용량 방향 하락
K-fixed,1,legacy8-A8-TAG-rep33,5,1,-191.3,results/33_ladder_replicate_k8/fixed1_s{1-5}/precision_eval.csv,신규 poker-ladder 코드 독립 재현. per-seed -22.3/+88.1/-121.9/-461.1/-439.4. README -191±248(1/5)과 일치. 전이구간 재현
K-fixed,5,legacy8-A8-TAG-rep33,5,5,845.8,results/33_ladder_replicate_k8/fixed5_s{1-5}/precision_eval.csv,per-seed +1100.8/+555.8/+1358.4/+610.4/+603.8. README +846±363(5/5)과 일치
K-fixed,20,legacy8-A8-TAG-rep33,5,4,675,results/33_ladder_replicate_k8/fixed20_s{1-5}/precision_eval.csv,per-seed +1265.3/+385.6/-139.2/+989.6/+873.8. 레거시 5/5 대비 4/5 편차(README 정직 기록 항목)
K-fixed,60,legacy8-A8-TAG-rep33,5,4,736.3,results/33_ladder_replicate_k8/fixed60_s{1-5}/precision_eval.csv,per-seed +1214.9/-124.0/+1852.7/+11.6/+726.0. 레거시 5/5 대비 4/5 편차
K-fixed,5,K20-A8-TAG,5,5,1717.9,results/32_ehs_k20/k20/fixed5_s{1-5}/precision_eval.csv,"per-seed +910.5/+2033.7/+1855.4/+1625.1/+2164.9. README 평균 +1718 일치, SD는 README ±467 vs 원자료 표본SD 494.7(산출 방식 불일치 — 원자료 우선)"
K-fixed,5,K20-A12-TAG,5,2,-15.8,results/32_ehs_k20/k20_a12/fixed5_s{1-5}/precision_eval.csv,"per-seed -112.1/+338.7/+55.5/-217.4/-143.6. 오버벳 추가로 ε_min 상승 → 상수 5칩 전이구간 후퇴(README -16±216, 2/5 일치)"
K-fixed,5,K50-A12-TAG,5,5,381.7,results/32_ehs_k20/k50_a12/fixed5_s{1-5}/precision_eval.csv,per-seed +309.8/+164.9/+720.6/+397.8/+315.4. README +382±208(5/5) 일치. 전이구간 복귀
